date	clade_membership					
2021-12-13	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-13	21M (Omicron)					
2021-12-08	21M (Omicron)					
2021-12-13	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-11-26	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-11	21M (Omicron)					
2021-12-13	21M (Omicron)					
2021-12-06	21M (Omicron)					
2021-12-11	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-13	21M (Omicron)					
2021-12-13	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-13	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-11	21M (Omicron)					
2021-12-11	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-11	21M (Omicron)					
2021-12-11	21M (Omicron)					
2021-12-06	21M (Omicron)					
2021-11-30	21M (Omicron)					
2021-11-30	21M (Omicron)					
2021-12-08	21M (Omicron)					
2021-12-07	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-23	21M (Omicron)					
2021-12-21	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-20	21M (Omicron)					
2021-12-19	21M (Omicron)					
2021-12-20	21M (Omicron)					
2021-12-21	21M (Omicron)					
2022-01-02	21M (Omicron)					
2022-01-02	21M (Omicron)					
2021-12-22	21M (Omicron)					
2022-01-01	21M (Omicron)					
2021-12-28	21M (Omicron)					
2022-01-02	21M (Omicron)					
2021-12-08	21M (Omicron)					
2021-12-22	21M (Omicron)					
2021-12-28	21M (Omicron)					
2021-12-30	21M (Omicron)					
2021-12-28	21M (Omicron)					
2021-12-31	21M (Omicron)					
2021-12-30	21M (Omicron)					
2021-12-31	21M (Omicron)					
2021-12-21	21M (Omicron)					
2022-01-01	21M (Omicron)					
2022-01-02	21M (Omicron)					
2021-12-29	21M (Omicron)					
2022-01-02	21M (Omicron)					
2021-12-22	21M (Omicron)					
2021-12-14	21M (Omicron)					
2021-12-13	21M (Omicron)					
2021-12-01	21M (Omicron)					
2021-12-10	21M (Omicron)					
2021-12-10	21M (Omicron)					
2021-12-13	21M (Omicron)					
2022-01-02	21M (Omicron)					
2021-12-17	21M (Omicron)					
2021-12-10	21M (Omicron)					
2021-12-08	21M (Omicron)					
2021-12-08	21M (Omicron)					
2021-12-21	21M (Omicron)					
2021-12-19	21M (Omicron)					
2022-01-01	21M (Omicron)					
2022-01-01	21M (Omicron)					
2021-12-16	21M (Omicron)					
2021-12-10	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-28	21M (Omicron)					
2021-12-15	21M (Omicron)					
2021-12-21	21M (Omicron)					
2021-12-13	21M (Omicron)					
